PROVINCIA,MUNICIPIO,IDMuni,Lon,Lat,Year,Month,pr,rperc,rdec,condicion,rdecmod,rachas,anom,Z,catZ,SPI6,Intense
Guantánamo,San Antonio del Sur,150,-74.81127,20.14734,2025,8,403.4,71.4,1,2,-3,3,-161.8,-1.34,2,-1.39,3
Guantánamo,Niceto Pérez,151,-75.35415,20.04991,2025,8,378.4,70.9,1,2,-3,4,-155.6,-1.28,2,-1.34,3
Villa Clara,Sagua La Grande,152,-80.08647,22.81619,2025,8,475.1,66.4,1,2,-3,5,-240,-1.53,3,-1.64,4
Matanzas,Martí,153,-80.85412,22.97992,2025,8,549.7,69.4,1,2,-3,4,-242.6,-1.57,3,-1.65,4
La Habana,Playa,154,-82.4616,23.08838,2025,8,488.8,64.8,1,2,-3,4,-265.8,-1.83,3,-2.12,4
La Habana,La Lisa,155,-82.47205,23.02939,2025,8,561.6,71.2,1,2,-3,3,-227.1,-1.56,2,-1.71,4
La Habana,Boyeros,156,-82.39846,22.9969,2025,8,447.8,52.8,1,2,-3,4,-400.5,-2.6,3,-3.18,4
La Habana,Marianao,157,-82.42284,23.06698,2025,8,490.9,62.4,1,2,-3,4,-296.2,-2.09,3,-2.4,4
La Habana,Cerro,158,-82.38522,23.10052,2025,8,461.9,61.3,1,2,-3,4,-291.3,-1.97,3,-2.25,4
La Habana,Plaza de La Revolucion,159,-82.39524,23.12571,2025,8,436.9,60.3,1,2,-3,4,-287.8,-1.77,3,-1.98,4
La Habana,Arrollo Naranjo,162,-82.32366,23.02024,2025,8,480.3,59.1,1,2,-3,4,-331.8,-2.2,3,-2.57,4
La Habana,Cotorro,163,-82.25937,23.0224,2025,8,361.2,43.9,1,2,-3,5,-461.5,-2.67,3,-3.35,4
La Habana,San Miguel del Padron,164,-82.30856,23.08134,2025,8,369.2,48.2,1,2,-3,5,-397.3,-2.41,3,-2.94,4
La Habana,Habana Vieja,166,-82.35504,23.12767,2025,8,413.9,57.1,1,2,-3,4,-311.1,-1.98,3,-2.27,4
La Habana,Habana del Este,167,-82.17679,23.13435,2025,8,455.4,65.1,1,2,-3,4,-243.9,-1.54,3,-1.71,4
La Habana,Guanabacoa,168,-82.23268,23.1076,2025,8,445.2,60.8,1,2,-3,4,-287.4,-1.69,3,-1.94,4
Guantánamo,Caimanera,169,-75.05902,19.95686,2025,8,310.9,75.8,3,1,-1,1,-99.4,-0.74,2,-0.68,2
